,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
119,96,-52.0,-45.0,-2.0,0.984000027179718,34
120,97,43.0,-41.0,35.0,0.984000027179718,31
121,98,-1.0,-16.0,20.0,0.9760000109672546,56
122,98a,-4.0,-24.0,18.0,0.9760000109672546,
123,98b,-1.0,-11.0,19.0,0.9739999771118164,
124,98c,-5.0,-22.0,17.0,0.9739999771118164,
125,99,-44.0,31.0,-1.0,0.9760000109672546,181
126,99a,-35.0,31.0,11.0,0.9739999771118164,
127,99b,-40.0,34.0,0.0,0.9739999771118164,
128,99c,-41.0,29.0,11.0,0.9739999771118164,
129,100,-7.0,-29.0,16.0,0.9760000109672546,64
130,100a,-12.0,-34.0,11.0,0.9739999771118164,
131,101,-37.0,32.0,-6.0,0.9739999771118164,25
132,102,-60.0,-25.0,-15.0,0.9739999771118164,32
133,103,-6.0,-90.0,11.0,0.9739999771118164,35
134,104,41.0,8.0,-6.0,0.9739999771118164,153
135,104a,36.0,13.0,-13.0,0.9739999771118164,
136,104b,38.0,15.0,-4.0,0.9739999771118164,
137,104c,32.0,14.0,-15.0,0.9739999771118164,
138,105,-1.0,-8.0,16.0,0.9739999771118164,22
139,106,-8.0,2.0,6.0,0.9739999771118164,32
140,107,-6.0,-92.0,9.0,0.9739999771118164,22
141,108,-34.0,25.0,-12.0,0.9739999771118164,105
142,108a,-36.0,30.0,-6.0,0.9739999771118164,
143,108b,-37.0,23.0,-12.0,0.9739999771118164,
144,109,17.0,-90.0,-5.0,0.972000002861023,24
145,110,-32.0,-81.0,-4.0,0.972000002861023,31
146,111,45.0,27.0,13.0,0.972000002861023,33
147,112,-44.0,26.0,13.0,0.972000002861023,21
148,113,36.0,26.0,29.0,0.972000002861023,32
149,114,47.0,-24.0,28.0,0.972000002861023,60
